f [Hz],h²Ω (SKA5),h²Ω (SKA10),h²Ω (SKA20),h²Ω (EPTA),h²Ω (1OGrav),h²Ω (LISA),h²Ω (BDECIGO),h²Ω (DECIGO),h²Ω (BBO),h²Ω (ET)
0.015848931924611,1,1,1,1,1,4.31458120570334E-10,1.2648067188822E-09,7.57707324541715E-12,6.97178757799411E-12,1
0.017378008287494,1,1,1,1,1,6.01568122236022E-10,1.1535194840218E-09,7.65018943733614E-12,7.09818247162364E-12,1
0.019054607179633,1,1,1,1,1,8.45171784970861E-10,1.0520249709271E-09,7.67447074987823E-12,7.17103082929462E-12,1
0.020892961308541,1,1,1,1,1,1.19700401566111E-09,9.59461733535795E-10,7.63552598287024E-12,7.1763589428308E-12,1
0.022908676527678,1,1,1,1,1,1.70955090801719E-09,8.75044189678263E-10,7.51835738826466E-12,7.09954708783744E-12,1
0.025118864315096,1,1,1,1,1,2.46269000954279E-09,7.98055966874961E-10,7.30841358773203E-12,6.92638632346435E-12,1
0.027542287033382,1,1,1,1,1,3.57880702101578E-09,7.27843840314172E-10,6.99317385769453E-12,6.64466600102532E-12,1
0.03019951720402,1,1,1,1,1,5.24659193756469E-09,6.63812213031506E-10,6.56430078043281E-12,6.24632909358019E-12,1
0.033113112148259,1,1,1,1,1,7.75859085771865E-09,6.05418093387008E-10,6.0202694151722E-12,5.73010356682643E-12,1
0.03630780547701,1,1,1,1,1,1.15704813454214E-08,5.52166529779111E-10,5.36916307595622E-12,5.10429990902372E-12,1
0.03981071705535,1,1,1,1,1,1.73943697943251E-08,5.03606467235942E-10,4.63102493011848E-12,4.38916403527843E-12,1
0.043651583224017,1,1,1,1,1,2.63446409276399E-08,4.59326995186434E-10,3.83883606208196E-12,3.61785618521757E-12,1
0.047863009232264,1,1,1,1,1,4.01635291454089E-08,4.18953960459064E-10,3.03701240482767E-12,2.83494816251578E-12,1
0.052480746024977,1,1,1,1,1,6.15656681631097E-08,3.82146924534475E-10,2.27652799397554E-12,2.09154628537675E-12,1
0.057543993733716,1,1,1,1,1,9.4760314321258E-08,3.48596449476443E-10,1.60663882918191E-12,1.43701420823358E-12,1
0.063095734448019,1,1,1,1,1,1.4625044427028E-07,3.18021703019616E-10,1.06473257563321E-12,9.08820674580138E-13,1
0.069183097091894,1,1,1,1,1,2.26106559471221E-07,2.90168380304599E-10,6.67553726099796E-13,5.23761586434187E-13,1
0.075857757502918,1,1,1,1,1,3.50138822819646E-07,2.64806948111385E-10,4.07785137608692E-13,2.74536988946419E-13,1
0.083176377110267,1,1,1,1,1,5.43790849287243E-07,2.41731227657979E-10,2.58437982899905E-13,1.34134589526336E-13,1
0.091201083935591,1,1,1,1,1,8.48934533434399E-07,2.20757344764037E-10,1.83675080398067E-13,6.66442164683758E-14,1
0.1,1,1,1,1,1,1.33416786149872E-06,2.01723092295446E-10,1.50806357908993E-13,3.9241232374951E-14,1
0.109647819614319,1,1,1,1,1,2.10666433789224E-06,1.84487770441614E-10,1.37612577912684E-13,2.94940521885467E-14,1
0.120226443461741,1,1,1,1,1,3.3224939548328E-06,1.68932597025911E-10,1.32870643940803E-13,2.5867794059408E-14,1
0.131825673855641,1,1,1,1,1,5.20827867305372E-06,1.54961814675683E-10,1.32654062057266E-13,2.39959338234999E-14,1
0.144543977074593,1,1,1,1,1,8.14904031605308E-06,1.42504666867846E-10,1.36409419068378E-13,2.27185795765007E-14,1
0.158489319246111,1,1,1,1,1,1.28719300845178E-05,1.31518474026163E-10,1.44780731133849E-13,2.1856262233685E-14,1
0.173780082874938,1,1,1,1,1,2.04982925943398E-05,1.21993118467275E-10,1.58906511425983E-13,2.14401960604109E-14,1
0.190546071796324,1,1,1,1,1,3.23074582077513E-05,1.13957348994256E-10,1.80346236024049E-13,2.15505675110684E-14,1
0.208929613085404,1,1,1,1,1,5.0613500609754E-05,1.07487450126273E-10,2.11182910115429E-13,2.23027814024717E-14,1
